race_year_id,rank,runner,time,age,gender,nationality,time_in_seconds,event,race,city,country,date,start_time,participation,distance,elevation_gain,elevation_loss,aid_stations,participants,age_group
72496,7.0,DAUWALTER Courtney,22H 30M 54S,36,W,USA,81054.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39
3940,7.0,BOSIO Rory,22H 37M 26S,37,W,USA,81446.0,The North Face Ultra-Trail Du Mont-Blanc®,UTMB®,Chamonix,France,2013-08-30,1900-01-01,solo,167.7,9618,-9618,0,0,30-39
6558,14.0,BOSIO Rory,23H 23M 20S,37,W,USA,84200.0,Ultra-Trail Du Mont-Blanc®,UTMB®,Chamonix,France,2014-08-29,1900-01-01 00:00:00,solo,167.7,9618,-9618,16,0,30-39
72496,16.0,BRUYAS Camille,24H 9M 42S,29,W,FRA,86982.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,20-29
3940,19.0,PICAS ALBETS Nuria,24H 32M 20S,45,W,ESP,88340.0,The North Face Ultra-Trail Du Mont-Blanc®,UTMB®,Chamonix,France,2013-08-30,1900-01-01,solo,167.7,9618,-9618,0,0,40-49
39881,21.0,DAUWALTER Courtney,24H 34M 26S,36,W,USA,88466.0,UTMB®,UTMB®,Chamonix,France,2019-08-30,1900-01-01 18:00:00,solo,170.7,9930,-9930,16,2300,30-39
3940,21.0,ROCA Emma,24H 48M 14S,48,W,ESP,89294.0,The North Face Ultra-Trail Du Mont-Blanc®,UTMB®,Chamonix,France,2013-08-30,1900-01-01,solo,167.7,9618,-9618,0,0,40-49
6558,29.0,PICAS ALBETS Nuria,24H 54M 29S,45,W,ESP,89669.0,Ultra-Trail Du Mont-Blanc®,UTMB®,Chamonix,France,2014-08-29,1900-01-01 00:00:00,solo,167.7,9618,-9618,16,0,40-49
72496,23.0,KOTKA Mimmi,25H 8M 29S,40,W,SWE,90509.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39
8592,19.0,MAUCLAIR Nathalie,25H 15M 33S,51,W,FRA,90933.0,Ultra-Trail Du Mont-Blanc®,UTMB®,Chamonix,France,2015-08-28,1900-01-01 00:00:00,solo,169.6,10060,-10060,16,0,50-59
11263,20.0,CHAVEROT Caroline,25H 15M 40S,45,W,FRA,90940.0,UTMB®,UTMB®,Chamonix,France,2016-08-26,1900-01-01 00:00:00,solo,171.0,10080,-10080,16,2300,40-49
11263,21.0,HUSER Andrea,25H 22M 56S,48,W,SUI,91376.0,UTMB®,UTMB®,Chamonix,France,2016-08-26,1900-01-01 00:00:00,solo,171.0,10080,-10080,16,2300,40-49
39881,29.0,BERGLUND Kristin,25H 34M 12S,37,W,SWE,92052.0,UTMB®,UTMB®,Chamonix,France,2019-08-30,1900-01-01 18:00:00,solo,170.7,9930,-9930,16,2300,30-39
39881,34.0,MAIORA Maite,25H 41M 30S,41,W,ESP,92490.0,UTMB®,UTMB®,Chamonix,France,2019-08-30,1900-01-01 18:00:00,solo,170.7,9930,-9930,16,2300,40-49
17383,41.0,PICAS ALBETS Nuria,25H 46M 43S,45,W,ESP,92803.0,UTMB®,UTMB®,Chamonix,France,2017-09-01,1900-01-01 18:00:00,solo,168.6,9980,-9980,16,2300,40-49
6558,40.0,MAUCLAIR Nathalie,25H 47M 35S,51,W,FRA,92855.0,Ultra-Trail Du Mont-Blanc®,UTMB®,Chamonix,France,2014-08-29,1900-01-01 00:00:00,solo,167.7,9618,-9618,16,0,50-59
17383,43.0,HUSER Andrea,25H 49M 18S,48,W,SUI,92958.0,UTMB®,UTMB®,Chamonix,France,2017-09-01,1900-01-01 18:00:00,solo,168.6,9980,-9980,16,2300,40-49
39881,37.0,MITYAEVA Ekaterina,25H 53M 26S,32,W,RUS,93206.0,UTMB®,UTMB®,Chamonix,France,2019-08-30,1900-01-01 18:00:00,solo,170.7,9930,-9930,16,2300,30-39
72496,33.0,DELESPIERRE Marion,25H 54M 33S,34,W,FRA,93273.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39
25073,33.0,CANEPA Francesca,26H 3M 48S,50,W,ITA,93828.0,UTMB®,UTMB®,Chamonix,France,2018-08-31,1900-01-01 18:00:00,solo,170.0,9990,-9990,16,2300,40-49
6558,42.0,MACIEL Fernanda,26H 5M 47S,41,W,BRA,93947.0,Ultra-Trail Du Mont-Blanc®,UTMB®,Chamonix,France,2014-08-29,1900-01-01 00:00:00,solo,167.7,9618,-9618,16,0,40-49
72496,36.0,BUEHLER Luzia,26H 6M 17S,39,W,SUI,93977.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39
25073,35.0,FRAILE AZPEITIA Uxue,26H 8M 7S,47,W,ESP,94087.0,UTMB®,UTMB®,Chamonix,France,2018-08-31,1900-01-01 18:00:00,solo,170.0,9990,-9990,16,2300,40-49
25073,37.0,PAULY Jocelyne,26H 15M 11S,48,W,FRA,94511.0,UTMB®,UTMB®,Chamonix,France,2018-08-31,1900-01-01 18:00:00,solo,170.0,9990,-9990,16,2300,40-49
6558,45.0,FRAILE AZPEITIA Uxue,26H 22M 19S,47,W,ESP,94939.0,Ultra-Trail Du Mont-Blanc®,UTMB®,Chamonix,France,2014-08-29,1900-01-01 00:00:00,solo,167.7,9618,-9618,16,0,40-49
25073,40.0,PASCALL Beth,26H 26M 40S,34,W,GBR,95200.0,UTMB®,UTMB®,Chamonix,France,2018-08-31,1900-01-01 18:00:00,solo,170.0,9990,-9990,16,2300,30-39
39881,45.0,PASCALL Beth,26H 26M 48S,34,W,GBR,95208.0,UTMB®,UTMB®,Chamonix,France,2019-08-30,1900-01-01 18:00:00,solo,170.7,9930,-9930,16,2300,30-39
8592,30.0,FRAILE AZPEITIA Uxue,26H 29M 35S,47,W,ESP,95375.0,Ultra-Trail Du Mont-Blanc®,UTMB®,Chamonix,France,2015-08-28,1900-01-01 00:00:00,solo,169.6,10060,-10060,16,0,40-49
17383,53.0,BARD Christelle,26H 39M 3S,42,W,FRA,95943.0,UTMB®,UTMB®,Chamonix,France,2017-09-01,1900-01-01 18:00:00,solo,168.6,9980,-9980,16,2300,40-49
25073,43.0,Fori Katia,26H 40M 43S,49,W,ITA,96043.0,UTMB®,UTMB®,Chamonix,France,2018-08-31,1900-01-01 18:00:00,solo,170.0,9990,-9990,16,2300,40-49
72496,42.0,nakache Maryline,26H 40M 48S,37,W,FRA,96048.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39
72496,44.0,JAMSIN Lucie,26H 44M 41S,32,W,FRA,96281.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39
25073,45.0,BLANCHET Juliette,26H 48M 44S,42,W,FRA,96524.0,UTMB®,UTMB®,Chamonix,France,2018-08-31,1900-01-01 18:00:00,solo,170.0,9990,-9990,16,2300,40-49
11263,36.0,FRAILE AZPEITIA Uxue,27H 10M 22S,47,W,ESP,97822.0,UTMB®,UTMB®,Chamonix,France,2016-08-26,1900-01-01 00:00:00,solo,171.0,10080,-10080,16,2300,40-49
25073,54.0,WERMESCHER Ildiko,27H 19M 36S,56,W,HUN,98376.0,UTMB®,UTMB®,Chamonix,France,2018-08-31,1900-01-01 18:00:00,solo,170.0,9990,-9990,16,2300,50-59
25073,55.0,Bradley Cat,27H 22M 11S,29,W,USA,98531.0,UTMB®,UTMB®,Chamonix,France,2018-08-31,1900-01-01 18:00:00,solo,170.0,9990,-9990,16,2300,20-29
39881,56.0,SCHIDE Katie,27H 22M 56S,29,W,USA,98576.0,UTMB®,UTMB®,Chamonix,France,2019-08-30,1900-01-01 18:00:00,solo,170.7,9930,-9930,16,2300,20-29
25073,57.0,NIKOLOVA Mariya,27H 23M 20S,39,W,BUL,98600.0,UTMB®,UTMB®,Chamonix,France,2018-08-31,1900-01-01 18:00:00,solo,170.0,9990,-9990,16,2300,30-39
25073,61.0,LICKTEIG Kaci,27H 31M 39S,35,W,USA,99099.0,UTMB®,UTMB®,Chamonix,France,2018-08-31,1900-01-01 18:00:00,solo,170.0,9990,-9990,16,2300,30-39
17383,68.0,NIWA Kaori,27H 31M 39S,46,W,JPN,99099.0,UTMB®,UTMB®,Chamonix,France,2017-09-01,1900-01-01 18:00:00,solo,168.6,9980,-9980,16,2300,40-49
8592,41.0,ZIMMERMANN Denise,27H 33M 51S,46,W,SUI,99231.0,Ultra-Trail Du Mont-Blanc®,UTMB®,Chamonix,France,2015-08-28,1900-01-01 00:00:00,solo,169.6,10060,-10060,16,0,40-49
25073,65.0,MACIEL Fernanda,27H 35M 11S,41,W,BRA,99311.0,UTMB®,UTMB®,Chamonix,France,2018-08-31,1900-01-01 18:00:00,solo,170.0,9990,-9990,16,2300,40-49
11263,39.0,BLANCHET Juliette,27H 37M 18S,42,W,FRA,99438.0,UTMB®,UTMB®,Chamonix,France,2016-08-26,1900-01-01 00:00:00,solo,171.0,10080,-10080,16,2300,40-49
72496,52.0,SCHIDE Katie,27H 39M 45S,29,W,USA,99585.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,20-29
6558,63.0,WERMESCHER Ildiko,27H 47M 52S,56,W,HUN,100072.0,Ultra-Trail Du Mont-Blanc®,UTMB®,Chamonix,France,2014-08-29,1900-01-01 00:00:00,solo,167.7,9618,-9618,16,0,50-59
39881,67.0,DELANNOY Elise,27H 48M 32S,37,W,FRA,100112.0,UTMB®,UTMB®,Chamonix,France,2019-08-30,1900-01-01 18:00:00,solo,170.7,9930,-9930,16,2300,30-39
3940,57.0,Fori Katia,27H 48M 45S,49,W,ITA,100125.0,The North Face Ultra-Trail Du Mont-Blanc®,UTMB®,Chamonix,France,2013-08-30,1900-01-01,solo,167.7,9618,-9618,0,0,40-49
25073,70.0,GRANT Sophie,27H 51M 7S,38,W,GBR,100267.0,UTMB®,UTMB®,Chamonix,France,2018-08-31,1900-01-01 18:00:00,solo,170.0,9990,-9990,16,2300,30-39
72496,59.0,TREMPS Claudia,27H 55M 36S,25,W,ESP,100536.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,20-29
39881,68.0,BOSIO Rory,27H 59M 45S,37,W,USA,100785.0,UTMB®,UTMB®,Chamonix,France,2019-08-30,1900-01-01 18:00:00,solo,170.7,9930,-9930,16,2300,30-39
