runner,time_in_seconds,rank,age,gender,nationality,elevation_gain,distance,city,country,date
D HAENE Francois,68514.0,1.0,36,M,FRA,9980,168.6,Chamonix,France,2017-09-01
JORNET BURGADA Kilian,69419.0,2.0,34,M,ESP,9980,168.6,Chamonix,France,2017-09-01
TOLLEFSON Tim,71580.0,3.0,36,M,USA,9980,168.6,Chamonix,France,2017-09-01
THEVENARD Xavier,72219.0,4.0,33,M,FRA,9980,168.6,Chamonix,France,2017-09-01
WALMSLEY Jim,72698.0,5.0,31,M,USA,9980,168.6,Chamonix,France,2017-09-01
D HAENE Francois,72704.0,1.0,36,M,FRA,9618,167.7,Chamonix,France,2014-08-29
CAPELL Pau,72763.0,6.0,30,M,ESP,9980,168.6,Chamonix,France,2017-09-01
CAPELL Pau,73147.0,1.0,30,M,ESP,9930,170.7,Chamonix,France,2019-08-30
BOWMAN Dylan,73188.0,7.0,35,M,USA,9980,168.6,Chamonix,France,2017-09-01
THEVENARD Xavier,74097.0,1.0,33,M,FRA,9618,167.7,Chamonix,France,2013-08-30
THEVENARD Xavier,74656.0,1.0,33,M,FRA,9990,170.0,Chamonix,France,2018-08-31
D HAENE Francois,74759.0,1.0,36,M,FRA,9930,170.7,Chamonix,France,2021-08-27
HERAS Miguel,75248.0,2.0,46,M,ESP,9618,167.7,Chamonix,France,2013-08-30
KARRERA Iker,75342.0,2.0,47,M,ESP,9618,167.7,Chamonix,France,2014-08-29
CASTANYER Tofol,75342.0,2.0,49,M,ESP,9618,167.7,Chamonix,France,2014-08-29
DUNAND PALLAZ Aurelien,75511.0,2.0,29,M,FRA,9930,170.7,Chamonix,France,2021-08-27
THEVENARD Xavier,76076.0,2.0,33,M,FRA,9930,170.7,Chamonix,France,2019-08-30
THEVENARD Xavier,76155.0,1.0,33,M,FRA,10060,169.6,Chamonix,France,2015-08-28
BLANCHARD Mathieu,76363.0,3.0,34,M,FRA,9930,170.7,Chamonix,France,2021-08-27
DOMINGUEZ LEDO Javier,76658.0,3.0,47,M,ESP,9618,167.7,Chamonix,France,2013-08-30
GRINIUS Gediminas,77059.0,8.0,42,M,LTU,9980,168.6,Chamonix,France,2017-09-01
MILLER Zach,77312.0,9.0,33,M,USA,9980,168.6,Chamonix,France,2017-09-01
HAJNAL Robert,77497.0,2.0,32,M,ROU,9990,170.0,Chamonix,France,2018-08-31
OLSON Tim,77903.0,4.0,38,M,USA,9618,167.7,Chamonix,France,2013-08-30
POMMERET Ludovic,77924.0,4.0,46,M,FRA,9930,170.7,Chamonix,France,2021-08-27
Schlarb Jason,77984.0,4.0,43,M,USA,9618,167.7,Chamonix,France,2014-08-29
GAMITO Jordi,78271.0,10.0,40,M,ESP,9980,168.6,Chamonix,France,2017-09-01
HAWKER Scott,78484.0,3.0,34,M,NZL,9930,170.7,Chamonix,France,2019-08-30
GRINIUS Gediminas,78604.0,5.0,42,M,LTU,9618,167.7,Chamonix,France,2014-08-29
GRANGIER Germain,78767.0,5.0,31,M,FRA,9930,170.7,Chamonix,France,2021-08-27
FOOTE Mike,78799.0,5.0,38,M,USA,9618,167.7,Chamonix,France,2013-08-30
HAWKER Scott,78947.0,11.0,34,M,NZL,9980,168.6,Chamonix,France,2017-09-01
GAMITO Jordi,79021.0,3.0,40,M,ESP,9990,170.0,Chamonix,France,2018-08-31
HERNANDO Luis Alberto,79037.0,2.0,44,M,ESP,10060,169.6,Chamonix,France,2015-08-28
LANEY David,79182.0,3.0,33,M,USA,10060,169.6,Chamonix,France,2015-08-28
POMMERET Ludovic,79202.0,1.0,46,M,FRA,10080,171.0,Chamonix,France,2016-08-26
